step,raw_cmd_vel_lx,raw_cmd_vel_ly,raw_cmd_vel_lz,raw_cmd_vel_ax,raw_cmd_vel_ay,raw_cmd_vel_az,raw_back_joint,raw_left_shoulder_yaw,raw_left_shoulder_pitch,raw_left_elbow_pitch,raw_left_wrist_pitch,raw_left_wrist_roll,raw_left_gripper,raw_right_shoulder_yaw,raw_right_shoulder_pitch,raw_right_elbow_pitch,raw_right_wrist_pitch,raw_right_wrist_roll,raw_right_gripper,raw_head_yaw,raw_head_pitch,raw_head_roll,normalized_cmd_vel_lx,normalized_cmd_vel_ly,normalized_cmd_vel_lz,normalized_cmd_vel_ax,normalized_cmd_vel_ay,normalized_cmd_vel_az,normalized_back_joint,normalized_left_shoulder_yaw,normalized_left_shoulder_pitch,normalized_left_elbow_pitch,normalized_left_wrist_pitch,normalized_left_wrist_roll,normalized_left_gripper,normalized_right_shoulder_yaw,normalized_right_shoulder_pitch,normalized_right_elbow_pitch,normalized_right_wrist_pitch,normalized_right_wrist_roll,normalized_right_gripper,normalized_head_yaw,normalized_head_pitch,normalized_head_roll,denorm_if_raw_is_raw_cmd_vel_lx,denorm_if_raw_is_raw_cmd_vel_ly,denorm_if_raw_is_raw_cmd_vel_lz,denorm_if_raw_is_raw_cmd_vel_ax,denorm_if_raw_is_raw_cmd_vel_ay,denorm_if_raw_is_raw_cmd_vel_az,denorm_if_raw_is_raw_back_joint,denorm_if_raw_is_raw_left_shoulder_yaw,denorm_if_raw_is_raw_left_shoulder_pitch,denorm_if_raw_is_raw_left_elbow_pitch,denorm_if_raw_is_raw_left_wrist_pitch,denorm_if_raw_is_raw_left_wrist_roll,denorm_if_raw_is_raw_left_gripper,denorm_if_raw_is_raw_right_shoulder_yaw,denorm_if_raw_is_raw_right_shoulder_pitch,denorm_if_raw_is_raw_right_elbow_pitch,denorm_if_raw_is_raw_right_wrist_pitch,denorm_if_raw_is_raw_right_wrist_roll,denorm_if_raw_is_raw_right_gripper,denorm_if_raw_is_raw_head_yaw,denorm_if_raw_is_raw_head_pitch,denorm_if_raw_is_raw_head_roll,denorm_if_raw_is_normalized_cmd_vel_lx,denorm_if_raw_is_normalized_cmd_vel_ly,denorm_if_raw_is_normalized_cmd_vel_lz,denorm_if_raw_is_normalized_cmd_vel_ax,denorm_if_raw_is_normalized_cmd_vel_ay,denorm_if_raw_is_normalized_cmd_vel_az,denorm_if_raw_is_normalized_back_joint,denorm_if_raw_is_normalized_left_shoulder_yaw,denorm_if_raw_is_normalized_left_shoulder_pitch,denorm_if_raw_is_normalized_left_elbow_pitch,denorm_if_raw_is_normalized_left_wrist_pitch,denorm_if_raw_is_normalized_left_wrist_roll,denorm_if_raw_is_normalized_left_gripper,denorm_if_raw_is_normalized_right_shoulder_yaw,denorm_if_raw_is_normalized_right_shoulder_pitch,denorm_if_raw_is_normalized_right_elbow_pitch,denorm_if_raw_is_normalized_right_wrist_pitch,denorm_if_raw_is_normalized_right_wrist_roll,denorm_if_raw_is_normalized_right_gripper,denorm_if_raw_is_normalized_head_yaw,denorm_if_raw_is_normalized_head_pitch,denorm_if_raw_is_normalized_head_roll
0,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.12118448317050934,-0.03528155758976936,0.004601942375302315,-0.3286009132862091,-0.00332721252925694,0.0,0.0,0.0,-0.04250015318393707,-0.9998122453689575,0.0,-0.99986732006073,-0.9998070001602173,-1.0001758337020874,-0.0,-0.0,-0.3946073651313782,-0.6581684350967407,-0.9468866586685181,0.298265665769577,0.1643766313791275,-0.481687992811203,0.21020983159542084,2.539543390274048,-1.0708856582641602,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.12118448317050934,-0.03528155758976936,0.004601942375302315,0.012632614001631737,2.450196916470304e-05,0.0,0.0,0.0,0.005789338145405054,0.10004892200231552,0.0,0.10741472989320755,-1.4850562810897827,-0.14416742324829102,0.0,0.0,0.06892840564250946,0.3509591519832611,-1.9470815658569336,-0.2944178283214569,-0.01989131048321724,0.14634501934051514,-0.25628936290740967,-0.9611251950263977,0.061818432062864304
1,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.12118448317050934,-0.03374757617712021,0.004601942375302315,-0.3286009132862091,-0.00332721252925694,0.0,0.0,0.0,-0.04250015318393707,-0.9998122453689575,0.0,-0.99986732006073,-0.9998070001602173,-1.0001758337020874,-0.0,-0.0,-0.3946073651313782,-0.6581684350967407,-0.9468866586685181,0.298265665769577,0.1643766313791275,-0.481687992811203,0.21020983159542084,2.543809413909912,-1.0708856582641602,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.12118448317050934,-0.03374757617712021,0.004601942375302315,0.012632614001631737,2.450196916470304e-05,0.0,0.0,0.0,0.005789338145405054,0.10004892200231552,0.0,0.10741472989320755,-1.4850562810897827,-0.14416742324829102,0.0,0.0,0.06892840564250946,0.3509591519832611,-1.9470815658569336,-0.2944178283214569,-0.01989131048321724,0.14634501934051514,-0.25628936290740967,-0.9605736136436462,0.061818432062864304
2,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.11965049803256989,-0.032213594764471054,0.004601942375302315,-0.3286009132862091,-0.00332721252925694,0.0,0.0,0.0,-0.04250015318393707,-0.9998122453689575,0.0,-0.99986732006073,-0.9998070001602173,-1.0001758337020874,-0.0,-0.0,-0.3946073651313782,-0.6581684350967407,-0.9468866586685181,0.298265665769577,0.1643766313791275,-0.481687992811203,0.21397249400615692,2.5480754375457764,-1.0708856582641602,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.11965049803256989,-0.032213594764471054,0.004601942375302315,0.012632614001631737,2.450196916470304e-05,0.0,0.0,0.0,0.005789338145405054,0.10004892200231552,0.0,0.10741472989320755,-1.4850562810897827,-0.14416742324829102,0.0,0.0,0.06892840564250946,0.3509591519832611,-1.9470815658569336,-0.2944178283214569,-0.01989131048321724,0.14634501934051514,-0.25566399097442627,-0.9600220322608948,0.061818432062864304
3,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.11965049803256989,-0.032213594764471054,0.004601942375302315,-0.3286009132862091,-0.00332721252925694,0.0,0.0,0.0,-0.04250015318393707,-0.9998122453689575,0.0,-0.99986732006073,-0.9998070001602173,-1.0001758337020874,-0.0,-0.0,-0.3946073651313782,-0.6581684350967407,-0.9468866586685181,0.298265665769577,0.1643766313791275,-0.481687992811203,0.21397249400615692,2.5480754375457764,-1.0708856582641602,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.11965049803256989,-0.032213594764471054,0.004601942375302315,0.012632614001631737,2.450196916470304e-05,0.0,0.0,0.0,0.005789338145405054,0.10004892200231552,0.0,0.10741472989320755,-1.4850562810897827,-0.14416742324829102,0.0,0.0,0.06892840564250946,0.3509591519832611,-1.9470815658569336,-0.2944178283214569,-0.01989131048321724,0.14634501934051514,-0.25566399097442627,-0.9600220322608948,0.061818432062864304
4,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.11811652034521103,-0.041417479515075684,0.006135923322290182,-0.3286009132862091,-0.00332721252925694,0.0,0.0,0.0,-0.04250015318393707,-0.9998122453689575,0.0,-0.99986732006073,-0.9998070001602173,-1.0001758337020874,-0.0,-0.0,-0.3946073651313782,-0.6581684350967407,-0.9468866586685181,0.298265665769577,0.1643766313791275,-0.481687992811203,0.2177351415157318,2.5224788188934326,-1.0420517921447754,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.11811652034521103,-0.041417479515075684,0.006135923322290182,0.012632614001631737,2.450196916470304e-05,0.0,0.0,0.0,0.005789338145405054,0.10004892200231552,0.0,0.10741472989320755,-1.4850562810897827,-0.14416742324829102,0.0,0.0,0.06892840564250946,0.3509591519832611,-1.9470815658569336,-0.2944178283214569,-0.01989131048321724,0.14634501934051514,-0.25503861904144287,-0.9633315205574036,0.06190004199743271
5,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.11658254265785217,-0.05215534567832947,0.004601942375302315,-0.3286009132862091,-0.00332721252925694,0.0,0.0,0.0,-0.04250015318393707,-0.9998122453689575,0.0,-0.99986732006073,-0.9998070001602173,-1.0001758337020874,-0.0,-0.0,-0.3946073651313782,-0.6581684350967407,-0.9468866586685181,0.298265665769577,0.1643766313791275,-0.481687992811203,0.2214977741241455,2.4926164150238037,-1.0708856582641602,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.11658254265785217,-0.05215534567832947,0.004601942375302315,0.012632614001631737,2.450196916470304e-05,0.0,0.0,0.0,0.005789338145405054,0.10004892200231552,0.0,0.10741472989320755,-1.4850562810897827,-0.14416742324829102,0.0,0.0,0.06892840564250946,0.3509591519832611,-1.9470815658569336,-0.2944178283214569,-0.01989131048321724,0.14634501934051514,-0.2544132173061371,-0.9671925902366638,0.061818432062864304
6,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.11198059469461441,-0.08897088468074799,0.0015339808305725455,-0.3286009132862091,-0.00332721252925694,0.0,0.0,0.0,-0.04250015318393707,-0.9998122453689575,0.0,-0.99986732006073,-0.9998070001602173,-1.0001758337020874,-0.0,-0.0,-0.3946073651313782,-0.6581684350967407,-0.9468866586685181,0.298265665769577,0.1643766313791275,-0.481687992811203,0.23278574645519257,2.390230178833008,-1.1285535097122192,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.11198059469461441,-0.08897088468074799,0.0015339808305725455,0.012632614001631737,2.450196916470304e-05,0.0,0.0,0.0,0.005789338145405054,0.10004892200231552,0.0,0.10741472989320755,-1.4850562810897827,-0.14416742324829102,0.0,0.0,0.06892840564250946,0.3509591519832611,-1.9470815658569336,-0.2944178283214569,-0.01989131048321724,0.14634501934051514,-0.2525370717048645,-0.980430543422699,0.06165521591901779
7,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.09817477315664291,-0.1595340073108673,-0.0,-0.3286009132862091,-0.00332721252925694,0.0,0.0,0.0,-0.04250015318393707,-0.9998122453689575,0.0,-0.99986732006073,-0.9998070001602173,-1.0001758337020874,-0.0,-0.0,-0.3946073651313782,-0.6581684350967407,-0.9468866586685181,0.298265665769577,0.1643766313791275,-0.481687992811203,0.2666495740413666,2.1939899921417236,-1.1573874950408936,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.09817477315664291,-0.1595340073108673,-0.0,0.012632614001631737,2.450196916470304e-05,0.0,0.0,0.0,0.005789338145405054,0.10004892200231552,0.0,0.10741472989320755,-1.4850562810897827,-0.14416742324829102,0.0,0.0,0.06892840564250946,0.3509591519832611,-1.9470815658569336,-0.2944178283214569,-0.01989131048321724,0.14634501934051514,-0.24690863490104675,-1.0058033466339111,0.06157360598444939
8,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.08743690699338913,-0.20555342733860016,-0.003067961661145091,-0.3286009132862091,-0.00332721252925694,0.0,0.0,0.0,-0.04250015318393707,-0.9998122453689575,0.0,-0.99986732006073,-0.9998070001602173,-1.0001758337020874,-0.0,-0.0,-0.3946073651313782,-0.6581684350967407,-0.9468866586685181,0.298265665769577,0.1643766313791275,-0.481687992811203,0.2929881513118744,2.066007375717163,-1.2150553464889526,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.08743690699338913,-0.20555342733860016,-0.003067961661145091,0.012632614001631737,2.450196916470304e-05,0.0,0.0,0.0,0.005789338145405054,0.10004892200231552,0.0,0.10741472989320755,-1.4850562810897827,-0.14416742324829102,0.0,0.0,0.06892840564250946,0.3509591519832611,-1.9470815658569336,-0.2944178283214569,-0.01989131048321724,0.14634501934051514,-0.242530956864357,-1.022350788116455,0.061410389840602875
9,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.0782330185174942,-0.29145634174346924,-0.012271846644580364,-0.3286009132862091,-0.00332721252925694,0.0,0.0,0.0,-0.04250015318393707,-0.9998122453689575,0.0,-0.99986732006073,-0.9998070001602173,-1.0001758337020874,-0.0,-0.0,-0.3946073651313782,-0.6581684350967407,-0.9468866586685181,0.298265665769577,0.1643766313791275,-0.481687992811203,0.3155640661716461,1.8271063566207886,-1.388059139251709,-0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,0.0,0.10737865418195724,-1.4848934412002563,-0.14419420063495636,-0.0,-0.0,-0.0782330185174942,-0.29145634174346924,-0.012271846644580364,0.012632614001631737,2.450196916470304e-05,0.0,0.0,0.0,0.005789338145405054,0.10004892200231552,0.0,0.10741472989320755,-1.4850562810897827,-0.14416742324829102,0.0,0.0,0.06892840564250946,0.3509591519832611,-1.9470815658569336,-0.2944178283214569,-0.01989131048321724,0.14634501934051514,-0.23877865076065063,-1.053239345550537,0.06092073768377304
