step,state_cmd_vel_lx,state_cmd_vel_ly,state_cmd_vel_lz,state_cmd_vel_ax,state_cmd_vel_ay,state_cmd_vel_az,state_back_joint,state_left_shoulder_yaw,state_left_shoulder_pitch,state_left_elbow_pitch,state_left_wrist_pitch,state_left_wrist_roll,state_left_gripper,state_right_shoulder_yaw,state_right_shoulder_pitch,state_right_elbow_pitch,state_right_wrist_pitch,state_right_wrist_roll,state_right_gripper,state_head_yaw,state_head_pitch,state_head_roll
0,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.11351457983255386,-0.03834952041506767,0.004601942375302315
1,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.11658254265785217,-0.03834952041506767,0.004601942375302315
2,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.11811652034521103,-0.03374757617712021,0.004601942375302315
3,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.11811652034521103,-0.03374757617712021,0.004601942375302315
4,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.11811652034521103,-0.03374757617712021,0.004601942375302315
5,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.11811652034521103,-0.03374757617712021,0.004601942375302315
6,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.11811652034521103,-0.04448544234037399,0.004601942375302315
7,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.11811652034521103,-0.07209710031747818,0.003067961661145091
8,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.10124272853136063,-0.11658254265785217,0.003067961661145091
9,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.09050486981868744,-0.16413594782352448,-0.0015339808305725455
10,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.07976700365543365,-0.23009711503982544,-0.01073786523193121
11,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.07976700365543365,-0.2960582971572876,-0.012271846644580364
12,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.06289321184158325,-0.37889325618743896,-0.01840776950120926
13,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.0613592304289341,-0.4387184977531433,-0.026077672839164734
14,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.05522330850362778,-0.5169515013694763,-0.02761165425181389
15,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.05368932709097862,-0.5921165943145752,-0.03067961521446705
16,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.05368932709097862,-0.6458058953285217,-0.03528155758976936
17,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.05368932709097862,-0.7133010625839233,-0.04448544234037399
18,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.0613592304289341,-0.7915340662002563,-0.0475534051656723
19,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.07209710031747818,-0.855961263179779,-0.05215534567832947
20,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.08590292185544968,-0.928058385848999,-0.05675728991627693
21,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.10737865418195724,-0.960271954536438,-0.05522330850362778
22,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.1257864236831665,-0.9633399248123169,-0.05522330850362778
23,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.14879614114761353,-0.9633399248123169,-0.05522330850362778
24,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.19174760580062866,-0.9633399248123169,-0.04601942375302315
25,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.25003886222839355,-0.9633399248123169,-0.023009711876511574
26,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.3206019699573517,-0.9648739099502563,-0.004601942375302315
27,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.38656315207481384,-0.9679418802261353,0.029145635664463043
28,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.4663301706314087,-0.9679418802261353,0.0613592304289341
29,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.5476311445236206,-0.9679418802261353,0.09357282519340515
30,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.6212621927261353,-0.9679418802261353,0.11965049803256989
31,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.6964272856712341,-0.9679418802261353,0.13192234933376312
32,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.7639224529266357,-0.9679418802261353,0.1365242898464203
33,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.8176117539405823,-0.9679418802261353,0.1365242898464203
34,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.8574952483177185,-0.9679418802261353,0.1365242898464203
35,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.9219224452972412,-0.9679418802261353,0.1365242898464203
36,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-0.9756118059158325,-0.9679418802261353,0.1365242898464203
37,-0.0,0.0,0.0,0.0,0.0,0.0,0.09800619632005692,-0.003067961661145091,0.11198059469461441,-1.477223515510559,-0.14112623035907745,0.004601942375302315,-0.003067961661145091,-0.003067961661145091,0.11504855751991272,-1.4787575006484985,-0.13805827498435974,-0.004601942375302315,0.004601942375302315,-1.0293011665344238,-0.9679418802261353,0.13345633447170258
